Label,species,taskid,plate_num,object,background,compartment,ilastik_model,capture_datetime,OutFile,elapsed_hours,elapsed_days
At_20251103_011,At,20251103,11,1224,5064837,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:28:23Z,NA,0,0
At_20251103_003,At,20251103,3,1277,5064784,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:26:49Z,NA,0,0
At_20251103_007,At,20251103,7,1185,5064876,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:26:55Z,NA,0,0
At_20251103_028,At,20251103,28,1620,5064441,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:38:44Z,NA,0,0
At_20251103_001,At,20251103,1,1722,5064339,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:26:51Z,NA,0,0
At_20251103_005,At,20251103,5,1677,5064384,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:26:56Z,NA,0,0
At_20251103_026,At,20251103,26,1006,5065055,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:38:45Z,NA,0,0
At_20251103_008,At,20251103,8,1143,5064918,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:26:56Z,NA,0,0
At_20251103_002,At,20251103,2,1470,5064591,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:26:54Z,NA,0,0
At_20251103_027,At,20251103,27,1393,5064668,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:38:44Z,NA,0,0
At_20251103_030,At,20251103,30,1296,5064765,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:38:46Z,NA,0,0
At_20251103_031,At,20251103,31,1777,5064284,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:38:45Z,NA,0,0
At_20251103_010,At,20251103,10,752,5065309,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:28:22Z,NA,0,0
At_20251103_020,At,20251103,20,1435,5064626,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:37:17Z,NA,0,0
At_20251103_025,At,20251103,25,1269,5064792,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:38:46Z,NA,0,0
At_20251103_038,At,20251103,38,1171,5064890,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:59:14Z,NA,0,0
At_20251103_033,At,20251103,33,1369,5064692,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:59:11Z,NA,0,0
At_20251103_046,At,20251103,46,1401,5064660,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:00:41Z,NA,0,0
At_20251103_057,At,20251103,57,1342,5064719,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:07:53Z,NA,0,0
At_20251103_053,At,20251103,53,1154,5064907,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:06:25Z,NA,0,0
At_20251103_040,At,20251103,40,1158,5064903,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:59:15Z,NA,0,0
At_20251103_034,At,20251103,34,1418,5064643,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:59:11Z,NA,0,0
At_20251103_039,At,20251103,39,1723,5064338,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:59:14Z,NA,0,0
At_20251103_037,At,20251103,37,1290,5064771,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:59:13Z,NA,0,0
At_20251103_041,At,20251103,41,1283,5064778,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:00:42Z,NA,0,0
At_20251103_043,At,20251103,43,1393,5064668,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:00:40Z,NA,0,0
At_20251103_035,At,20251103,35,1253,5064808,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:59:12Z,NA,0,0
At_20251103_036,At,20251103,36,1244,5064817,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T09:59:12Z,NA,0,0
At_20251103_049,At,20251103,49,1318,5064743,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:06:22Z,NA,0,0
At_20251103_054,At,20251103,54,1044,5065017,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:06:26Z,NA,0,0
At_20251103_056,At,20251103,56,1238,5064823,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:06:26Z,NA,0,0
At_20251103_045,At,20251103,45,1339,5064722,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:00:40Z,NA,0,0
At_20251103_051,At,20251103,51,1372,5064689,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:06:24Z,NA,0,0
At_20251103_052,At,20251103,52,1383,5064678,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:06:24Z,NA,0,0
At_20251103_042,At,20251103,42,1531,5064530,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:00:41Z,NA,0,0
At_20251103_059,At,20251103,59,1235,5064826,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:07:51Z,NA,0,0
At_20251103_048,At,20251103,48,1357,5064704,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:00:44Z,NA,0,0
At_20251103_047,At,20251103,47,1435,5064626,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:00:41Z,NA,0,0
At_20251103_044,At,20251103,44,1383,5064678,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:00:40Z,NA,0,0
At_20251103_055,At,20251103,55,1159,5064902,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:06:25Z,NA,0,0
At_20251103_050,At,20251103,50,1424,5064637,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:06:23Z,NA,0,0
At_20251103_060,At,20251103,60,1215,5064846,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:07:51Z,NA,0,0
At_20251103_058,At,20251103,58,1215,5064846,Seed,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_seed.ilp,2025-11-03T10:07:52Z,NA,0,0
At_20251103_009,At,20251103,9,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:28:23Z,NA,0,0
At_20251103_018,At,20251103,18,1,5977040,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:37:16Z,NA,0,0
At_20251103_006,At,20251103,6,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:26:54Z,NA,0,0
At_20251103_027,At,20251103,27,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:38:44Z,NA,0,0
At_20251103_007,At,20251103,7,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:26:55Z,NA,0,0
At_20251103_011,At,20251103,11,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:28:23Z,NA,0,0
At_20251103_012,At,20251103,12,14,5977027,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:28:21Z,NA,0,0
At_20251103_019,At,20251103,19,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:37:16Z,NA,0,0
At_20251103_015,At,20251103,15,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:28:23Z,NA,0,0
